epoch,mAP_depth,mAP_edge,mAP_fusion,mAP_image,mAP_text,medium,similarity_depth,similarity_edge,similarity_fusion,similarity_image,similarity_text,step,test_any_modality_top1_acc,test_any_modality_top5_acc,test_loss_depth,test_loss_edge,test_loss_fusion,test_loss_image,test_loss_text,test_top1_acc_depth,test_top1_acc_edge,test_top1_acc_fusion,test_top1_acc_image,test_top1_acc_text,test_top5_acc_depth,test_top5_acc_edge,test_top5_acc_fusion,test_top5_acc_image,test_top5_acc_text,test_total_loss_epoch,test_total_loss_step,total_loss_epoch,total_loss_step,train_loss_depth_epoch,train_loss_depth_step,train_loss_edge_epoch,train_loss_edge_step,train_loss_fusion_epoch,train_loss_fusion_step,train_loss_image_epoch,train_loss_image_step,train_loss_text_epoch,train_loss_text_step,train_top1_acc_depth,train_top1_acc_edge,train_top1_acc_fusion,train_top1_acc_image,train_top1_acc_text,val_any_modality_top1_acc,val_any_modality_top5_acc,val_loss_depth,val_loss_edge,val_loss_fusion,val_loss_image,val_loss_text,val_top1_acc_depth,val_top1_acc_edge,val_top1_acc_fusion,val_top1_acc_image,val_top1_acc_text,val_top5_acc_depth,val_top5_acc_edge,val_top5_acc_fusion,val_top5_acc_image,val_top5_acc_text,val_total_loss_epoch,val_total_loss_step
0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,73.23477172851562,,9.204241752624512,,8.937219619750977,,37.04999542236328,,9.22636604309082,,8.816947937011719,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,69.83345794677734,,9.436280250549316,,8.942230224609375,,33.40774154663086,,9.521344184875488,,8.525863647460938,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,63.308048248291016,,8.736238479614258,,8.422966957092285,,28.904010772705078,,9.055767059326172,,8.189065933227539,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,60.078102111816406,,8.203514099121094,,7.881278038024902,,27.62804412841797,,8.29248046875,,8.072786331176758,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,57.502349853515625,,8.434139251708984,,8.117507934570312,,24.375598907470703,,8.63991928100586,,7.935185432434082,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,56.030517578125,,8.148876190185547,,7.915287971496582,,23.762353897094727,,8.456148147583008,,7.747854232788086,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,51.82952117919922,,7.850407600402832,,7.608349800109863,,20.732351303100586,,7.993316173553467,,7.645094394683838,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,49.81349182128906,,7.912165641784668,,7.731429100036621,,18.6525936126709,,7.940139293670654,,7.5771660804748535,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,48.499107360839844,,7.878689765930176,,7.642016887664795,,17.434473037719727,,7.985236644744873,,7.558687210083008,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,47.3472900390625,,7.623991966247559,,7.500101566314697,,16.997177124023438,,7.787450790405273,,7.438565731048584,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,44.53987121582031,,7.54059362411499,,7.397134304046631,,14.627483367919922,,7.581635475158691,,7.393022537231445,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,43.941219329833984,,7.617987155914307,,7.477569580078125,,13.860429763793945,,7.632380962371826,,7.352852821350098,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,43.76974105834961,,7.584286212921143,,7.469954490661621,,13.587020874023438,,7.772449493408203,,7.356030464172363,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,43.80805969238281,,7.458802223205566,,7.355006217956543,,14.095013618469238,,7.5847578048706055,,7.314479827880859,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,42.3714714050293,,7.372607231140137,,7.3298492431640625,,12.938070297241211,,7.449428558349609,,7.281516075134277,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,42.27553939819336,,7.415777206420898,,7.283749580383301,,12.8571195602417,,7.435795783996582,,7.283097267150879,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,30.70392608642578,,5.372674942016602,,5.353060245513916,,9.005287170410156,,5.661062717437744,,5.311841011047363,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.76063537597656
0,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02500000037252903,0.11999999731779099,6.466994762420654,6.30886697769165,7.188239574432373,6.566761016845703,6.22977352142334,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.029999999329447746,0.03500000014901161,0.029999999329447746,0.029999999329447746,0.029999999329447746,32.76063537597656,
0,,,,,,16540.0,,,,,,16,,,,,,,,,,,,,,,,,,,,52.18190002441406,,8.001136779785156,,7.790024280548096,,20.571712493896484,,8.123714447021484,,7.695319175720215,,0.006680774502456188,0.006559854838997126,0.005955260246992111,0.006257557310163975,0.00710399029776454,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,32.76063537597656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0300852470099926,0.030111020430922508,0.02993224933743477,0.030009472742676735,0.029453447088599205,,-0.007617003284394741,0.009510410949587822,2.993623971939087,0.015389831736683846,0.006513936445116997,17,0.02500000037252903,0.11999999731779099,6.466994762420654,6.30886697769165,7.188239574432373,6.566761016845703,6.22977352142334,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.004999999888241291,0.029999999329447746,0.03500000014901161,0.029999999329447746,0.029999999329447746,0.029999999329447746,32.76063537597656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
